LAKE_ID,COMID,GNIS_ID,GNIS_NAME,WaterbodyAreaSQM,WaterbodyAreaSQKM,WatershedAreaSQM,WatershedSQKM
0903CAR0035C,166766897,977060,Stark Falls Reservoir,14815000,14.815,2258179846,2258.179846
0903LON0241,166766898,955875,Long Lake,13901000,13.901,1014406459,1014.406459
0801FIR0782A,15509836,950106,First Lake,13142000,13.142,136118838.7,136.118839
0402CON0067,15538805,947265,Conesus Lake,12795000,12.795,182047691.4,182.047691
0903LTU0120,15466283,955718,Little Tupper Lake,12334000,12.334,167987233.7,167.987234
0702ONO0154,22025262,959397,Onondaga Lake,11908000,11.908,741484774.2,741.484774
1302MUS0044A,6228142, , ,11872000,11.872,973158892.6,973.158893
1104PIS0234,22294994,960627,Piseco Lake,11550000,11.55,199019645.8,199.019646
1203HIN0799,22741995,952878,Hinckley Reservoir,11325000,11.325,959297591.1,959.297591
0303SAL0019A,21621547,964326,Salmon River Reservoir,10680000,10.68,495946821,495.946821
0903LOW0155,15466235,976360,Grass Pond,10114000,10.114,90402750.96,90.402751
0902UCH0002,15447706,968266,Upper Chateaugay Lake,10057000,10.057,209923108.3,209.923108
1003FIR0103,9523497, , ,9794000,9.794,376265819,376.265819
1201DEL1059,22742027,948285,Delta Reservoir,9707000,9.707,380721790.6,380.721791
1702KEN1063,6240309, , ,8644000,8.644,34194183.6,34.194184
0402HEM0044,15538833,952563,Hemlock Lake,8261000,8.261,111209293.7,111.209294
1306RON0815A,6199522,962851,Rondout Reservoir,8095000,8.095,246467003.2,246.467003
0701CRO0185,22025222,947804,Cross Lake,7866000,7.866,15419886740,15419.88674
0601CAN0392,120051973,945728,Canadarago Lake,7501000,7.501,165390403.2,165.390403
0702OTI0175,22026932,970435,Otisco Lake,7376000,7.376,109491753.3,109.491753
1002CHA0020,9520959,946463,Chazy Lake,7317000,7.317,59070570.81,59.070571
1501GRE1026,6244708,876818,Greenwood Lake,7252000,7.252,71098802.97,71.098803
0402HON0057,15538831,970218,Honeoye Lake,7118000,7.118,103500622.3,103.500622
0903BLU0307,15468407,968331,Utowana Lake,6880000,6.88,58104765.18,58.104765
1003UNI0074,120053521,968191,Union Falls Pond,6687000,6.687,852524090.2,852.52409
1003LWE0208,9523609, , ,6685000,6.685,233715976.1,233.715976
1104SAC0314,120053722,963159,Sacandaga Lake,6388000,6.388,52759894.03,52.759894
1102TOM1095,22289727, , ,6366000,6.366,168682915.1,168.682915
0903FOR0276,15468299,950445,Forked Lake,6247000,6.247,467022459.6,467.02246
1104GRE0127,22294606,973352,Great Sacandaga Lake,6208000,6.208,2699141436,2699.141436
1402NEV0058B,4146742,958385,Neversink Reservoir,6049000,6.049,239272537.5,239.272538
0902LSA0257A,15457296,970322,Lower Saint Regis Lake,5839000,5.839,48180851.01,48.180851
1104PLE0313,22294886,960740,Lake Pleasant,5802000,5.802,86433985.21,86.433985
0801LIL0541,166890770,955298,Lake Lila,5797000,5.797,145298719.2,145.298719
1104BRA0347,22303899,944648,Brant Lake,5722000,5.722,102825946.4,102.825946
0906BON0024,15483673,958042,Mud Lake,5664000,5.664,49583694.9,49.583695
1201PEC0686,22739299,970466,Peck Lake,5634000,5.634,48689699.61,48.6897
1301ALC0185,120053426,942254,Alcove Reservoir,5511000,5.511,87467332.67,87.467333
1003KIW0100,9523509, , ,5253000,5.253,478729789.1,478.729789
0801MOO0752,15509692,969881,Big Moose Lake,5069000,5.069,96277486.72,96.277487
0902MEA0179A,15454662,970348,Meacham Lake,4778000,4.778,142273359.4,142.273359
0703CAZ0153,22026276,946092,Cazenovia Lake,4749000,4.749,22025568.85,22.025569
0704UWB5422,166766860, , ,4744000,4.744,76434095.54,76.434096
1202SCH0638A,3247342,964601,Schoharie Reservoir,4635000,4.635,815931500.9,815.931501
0801WOO0982,166890768,971638,Woodhull Lake,4451000,4.451,18928399.04,18.928399
1003CLE0199,9523343,970012,"Clear, Lake",4346000,4.346,29112724.3,29.112724
1701MON0761,9494728,957544,Lake Montauk,4317000,4.317,12609052.42,12.609052
0602WHI5358,9422503, , ,4089000,4.089,666089548.2,666.089548
0903FOL0186,15466041,950359,Follensby Pond,3919000,3.919,31557062.78,31.557063
0906BUT0054,15483247,945354,Butterfield Lake,3887000,3.887,44220581.25,44.220581
0901UWB5147,15502737, , ,3811000,3.811,5905712.631,5.905713
0801SIX0787,15509842,964869,Seventh Lake,3739000,3.739,44616096.1,44.616096
1104PAR0432,22303739,970453,Paradox Lake,3669000,3.669,120751738.3,120.751738
1401SWI0108A,4147012,966941,Swinging Bridge Reservoir,3587000,3.587,306525031.8,306.525032
0903BRA0277,15468313,944629,Brandreth Lake,3531000,3.531,19017681.29,19.017681
1201CAN0717,22739267, , ,3506000,3.506,107505829.3,107.505829
1401TOR0100A,4147042,967674,Toronto Reservoir,3429000,3.429,58900916.11,58.900916
1302CRO0109,6225588, , ,3426000,3.426,77386932.51,77.386933
1004TAY0227,9527491,967101,Taylor Pond,3417000,3.417,28363094.95,28.363095
0403SIL0115,15548613,965260,Silver Lake,3329000,3.329,44786503.06,44.786503
1203HON0877,22738115,953153,Honnedaga Lake,3307000,3.307,13966188.28,13.966188
1003SIL0073,120052873,970606,Silver Lake,3199000,3.199,14052441.06,14.052441
1402UWB5050,4147258, , ,3167000,3.167,122367342.5,122.367343
0502LAM0047,8118631, , ,3082000,3.082,112767603.3,112.767603
0502WAN0048,8118603,968757,Waneta Lake,3015000,3.015,25303038.81,25.303039
0905CHA0303,15489320,976121,Chaumont Pond,3007000,3.007,453846468.7,453.846469
1104BEL0681A,22305087, , ,2996000,2.996,491497936.2,491.497936
0903PAR0241A,15468219,972072,Park Lake,2930000,2.93,607912932.7,607.912933
1501DEF0977A,6243766, , ,2857000,2.857,71128546.87,71.128547
1302WES0067,6228110, , ,2795000,2.795,110881928.7,110.881929
0801LMO0808,15509928,955593,Little Moose Lake,2778000,2.778,11853647.35,11.853647
0701NEA0009,21971978,958316,Lake Neatahwanta,2768000,2.768,44349331.52,44.349332
1104CAT0685,120052879,946051,Catlin Lake,2760000,2.76,63655219.45,63.655219
0903RAI0022A,166766896,976867,Rainbow Falls Reservoir,2711000,2.711,2383127062,2383.127062
1104CED0667,22305293,946140,Cedar River Flow,2687000,2.687,117204596.6,117.204597
1302TIT0103,6225218,967560,Titicus Reservoir,2665000,2.665,62088302.4,62.088302
0402CAN0043,15538847,945732,Canadice Lake,2616000,2.616,32540856.5,32.540857
1004LIN0315,9527715,955379,Lincoln Pond,2561000,2.561,37991260.03,37.99126
0801NEH0539,15509500,958350,Nehasane Lake,2555000,2.555,186203676.1,186.203676
1103COS0079,22287717,947511,Cossayuna Lake,2554000,2.554,30527902.89,30.527903
0902CHA0006A,15448036,956076,Lower Chateaugay Lake,2432000,2.432,262300901.2,262.300901
1104LOO0367,22303965,955978,Loon Lake,2376000,2.376,33564016.58,33.564017
0403RUS0146,15550493,963105,Rushford Lake,2337000,2.337,158004805.7,158.004806
1302MAH0053,6224916,956276,Lake Mahopac,2331000,2.331,6622484.029,6.622484
1003HOE0161,9523391, , ,2302000,2.302,10944263.07,10.944263
0903EAT0248,15468185,949323,Lake Eaton,2283000,2.283,11240804.78,11.240805
0703DER0139A,22026326,948103,DeRuyter Reservoir,2224000,2.224,11006140.39,11.00614
1302AMA0050,6225308, , ,2202000,2.202,50605678.11,50.605678
1201ECA0697,22739297, , ,2189000,2.189,19659458.52,19.659459
1104ELK0460,22302819,949495,Elk Lake,2167000,2.167,44684600.95,44.684601
0303PER0390,15504448, , ,2161000,2.161,101977874.7,101.977875
0902IND0051,15448132,953672,Indian Lake,2160000,2.16,116541387.5,116.541388
1201GAL0563,22739367,950866,Galway Lake,2131000,2.131,24181766.11,24.181766
0906MUD0003,166766886,976696,Mud Lake,2128000,2.128,13825378.38,13.825378
1003CLE0070,9523147, , ,2082000,2.082,21919084.18,21.919084
0902OSG0202,15457234,970432,Osgood Pond,2069000,2.069,21681492.39,21.681492
0801SOU1004,15510202,965801,South Lake,1993000,1.993,16385192.13,16.385192
1003FOL0116,9523481,950357,Follensby Clear Pond,1990000,1.99,10465813.23,10.465813
0906HIC0004,15483147,976433,Hickory Lake,1967000,1.967,7136254.663,7.136255
0906MIL0055,15483347,957358,Millsite Lake,1900000,1.9,9131497.972,9.131498
0302POR0089,21631241, , ,1878000,1.878,79902171.66,79.902172
0801LIM0826,15509906,955344,Limekiln Lake,1857000,1.857,14064210.67,14.064211
1104NEW0694,120052878,958502,Newcomb Lake,1855000,1.855,44565846.8,44.565847
1302EAS0089,6224826, , ,1853000,1.853,194224303.6,194.224304
1003ROL0168,9523517,962837,Rollins Pond,1828000,1.828,30290783.79,30.290784
1104STE0126A,22294608,966415,Stewarts Bridge Reservoir,1820000,1.82,2724861308,2724.861308
1104BEA0671,22305331, , ,1820000,1.82,9507715.3,9.507715
0801NOR1007,15510136,958838,North Lake,1802000,1.802,78090712.22,78.090712
1104FRI0365,22304007,950735,Friends Lake,1793000,1.793,14442192.47,14.442192
0801BEA0449,15511904,943395,Beaver Lake,1787000,1.787,606333291.6,606.333292
0904MAS0369,15476483,976633,Massawepie Lake,1764000,1.764,14334177.51,14.334178
0903SLI0260,15466449,965425,Slim Pond,1763000,1.763,34510543.14,34.510543
0903SOU0245,15468321,965849,South Pond,1755000,1.755,55811358.11,55.811358
0301LON0154,15557709,955913,Long Pond,1740000,1.74,63689714.83,63.689715
0201CUB0115,8968334,947916,Cuba Lake,1681000,1.681,65789018.16,65.789018
0303UWB5011,167771498, , ,1678000,1.678,203985233.3,203.985233
0902TIT0028,15448110,967568,Lake Titus,1661000,1.661,15850416.97,15.850417
1004FER0222,9527495,949989,Fern Lake,1641000,1.641,8146180.821,8.146181
1104PHA0412,22303835,970473,Pharoah Lake,1639000,1.639,18864865.12,18.864865
0903ROC0252,15466401,956853,McRorie Lake,1636000,1.636,16245717.18,16.245717
1301ORA0340,6213032,959429,Orange Lake,1620000,1.62,28268715,28.268715
0903HOR0143,15466147,976457,Horseshoe Lake,1603000,1.603,12346749.68,12.34675
0902SAI0156A,22303099, , ,1594000,1.594,9404677.059,9.404677
1003FRA5095,22302711, , ,1578000,1.578,753921774.8,753.921775
1402YAN0021,4147160,971801,Yankee Lake,1575000,1.575,8183009.825,8.18301
1310COP0108,6187894,947410,Copake Lake,1573000,1.573,4507028.873,4.507029
1302MID0062,6224794,957085,Middle Branch Reservoir,1560000,1.56,53911068.65,53.911069
1201STO0503A,22744081, , ,1548000,1.548,30725191.45,30.725191
1311WAT0270,6185528, , ,1539000,1.539,306544801.5,306.544801
0902OZO0165,15454626,976785,Lake Ozonia,1532000,1.532,6574975.874,6.574976
0603CAY0008,8100185,973997,Cayuta Lake,1526000,1.526,39685994.08,39.685994
0902DEE0073,15454560,948233,Deer River Flow,1524000,1.524,73188176.23,73.188176
1104SPY0232,22295040,966157,Spy Lake,1521000,1.521,9294643.974,9.294644
1203JER0817,22739129,973384,Jerseyfield Lake,1511000,1.511,18292782.04,18.292782
1302BOG0086,6224754,944384,Bog Brook Reservoir,1502000,1.502,11811841.05,11.811841
1301OSC0175,6224862,959509,Oscawana Lake,1463000,1.463,12572398.07,12.572398
1003LCL0191,9523375,955493,Little Clear Pond,1459000,1.459,5877406.67,5.877407
0903AMP0202,15465993,942448,Ampersand Lake,1457000,1.457,34471584.14,34.471584
0906RED0010,15483399,962306,Red Lake,1453000,1.453,7923520.847,7.923521
1202UBL0630B,3247310, , ,1448000,1.448,2256502.611,2.256503
1004AUG0213,9527501,942698,Augur Lake,1442000,1.442,32656597.05,32.656597
0904TRO0293,15477607,977139,Trout Lake,1441000,1.441,6162155.124,6.162155
1104DUR0641A,22305181, , ,1437000,1.437,43514324.78,43.514325
0905YEL0069,15490428,977307,Yellow Lake,1435000,1.435,9222001.545,9.222002
1003LON0149,9523395,955921,Long Pond,1405000,1.405,23106953.36,23.106953
1003KUS0055,9522093,954835,"Kushaqua, Lake",1394000,1.394,73973687.69,73.973688
0903JOE0031,15465683,976501,Joe Indian Pond,1392000,1.392,54889088,54.889088
1104BOR0564,22302835, , ,1391000,1.391,33634143.51,33.634144
1104GOO0672A,22305107,951332,Goodnow Flowage,1370000,1.37,66680931.81,66.680932
0801KAY0984A,15516974, , ,1360000,1.36,370846712.2,370.846712
1005GLE0441,10313060,951187,Glen Lake,1351000,1.351,30372782.14,30.372782
0801CAN0838,15510054,945720,Canachagala Lake,1347000,1.347,4796934.279,4.796934
1310KIN0024,6187362, , ,1341000,1.341,98298365.22,98.298365
1003LOO0048,9522011,955980,Loon Lake,1323000,1.323,9257747.542,9.257748
1104EAG0438,22303741,948926,Eagle Lake,1320000,1.32,6834211.363,6.834211
1203BLA0827,22739185,944129,Black Creek Reservoir,1315000,1.315,59301352.14,59.301352
1306GLE0668,6200850,951216,Glenmere Lake,1314000,1.314,6274972.523,6.274973
1104THI0540,22305295,967382,Thirteenth Lake,1306000,1.306,28237437.56,28.237438
1501MOM1010,6244656,957500,Mombasha Lake,1303000,1.303,7285115.227,7.285115
0801SAN0981,166890765,964387,Sand Lake,1303000,1.303,35459971.53,35.459972
0906GRA0051,15483245,951541,Grass Lake,1291000,1.291,6694960.959,6.694961
0702OTI0175,22026980, , ,1284000,1.284,40573369.44,40.573369
0903DUC0210,15466203,948742,Duck Lake,1283000,1.283,5879037.487,5.879037
0801SAL0552,15509514,964314,Salmon Lake,1271000,1.271,19449376.89,19.449377
0303SOU0001,21622995,970636,South Pond,1257000,1.257,8145836.624,8.145837
1104FOU0626B,22305123, , ,1255000,1.255,28124320.66,28.124321
1101ROU1089,22289687,962974,Round Lake,1252000,1.252,70023581.26,70.023581
0905SYL0088,15490628,977093,Sylvia Lake,1251000,1.251,8851165.853,8.851166
0801BRA0689,15512140,944653,Brantingham Lake,1239000,1.239,11849350.85,11.849351
0703TUS0153A,22026312,967997,Tuscarora Lake,1231000,1.231,14014165.56,14.014166
1301SLE6666,6187646,973856,Sleepy Hollow Lake,1228000,1.228,34425569.76,34.42557
0801EFF0426,15511864,949417,Effley Falls Pond,1228000,1.228,669521852.1,669.521852
0801EIG0790,15509806,972130,Eighth Lake,1227000,1.227,5349153.198,5.349153
0301WAT0166,15558879,968907,Waterport Pond,1226000,1.226,596545331.4,596.545331
1104OXB0252,22294980,959710,Oxbow Lake,1201000,1.201,13386628.39,13.386628
1402WAN0053,4147088,968755,Wanaksink Lake,1201000,1.201,5106415.44,5.106415
1501STE1025,6244712,966366,Sterling Lake,1196000,1.196,11151474.89,11.151475
0801SOF0434,15511872,965625,Soft Maple Reservoir,1195000,1.195,650370478.4,650.370478
0903GUL0087,15466007,976386,Gull Pond,1187000,1.187,6742312.785,6.742313
1701GEO0780,9495486,951025,Georgica Pond,1186000,1.186,27891028.83,27.891029
1001LON0284,9527543,955922,Long Pond,1181000,1.181,11979529.49,11.979529
1501SEB1002E,6244716,964755,Lake Sebago,1178000,1.178,26899608.37,26.899608
1401LEB0098,4147208,955149,Lebanon Lake,1170000,1.17,20664984.32,20.664984
0903JEN0112,15466173,956251,Lake Madeleine,1166000,1.166,10703942.27,10.703942
1301TIO0152,6229626,967554,Lake Tiorati,1165000,1.165,3403476.638,3.403477
1104FAW0247,22294884,949933,Fawn Lake,1164000,1.164,4958104.505,4.958105
1104GAR0520,22305385,950916,Garnet Lake,1164000,1.164,22204287.77,22.204288
1003COL0106,9523433,947022,"Colby, Lake",1162000,1.162,7267170.882,7.267171
1202BLE0630A,3247302, , ,1162000,1.162,922375255.2,922.375255
0202FIN0153,9049063,950063,Findley Lake,1148000,1.148,12985862.39,12.985862
0903PLU0291,15468329,960780,Plumley Pond,1147000,1.147,5241345.589,5.241346
0903ROC0129,15468177,962722,Rock Pond,1140000,1.14,33341183.62,33.341184
1302CRO0059,6224950, , ,1129000,1.129,68722336.25,68.722336
0701OTT0198,22025228,959569,Otter Lake,1122000,1.122,5549037.876,5.549038
1501ROC0985,6243834, , ,1121000,1.121,6304466.335,6.304466
1501TUX1007,6244722,968010,Tuxedo Lake,1112000,1.112,7984832.293,7.984832
1005NOR0360,10311638, , ,1105000,1.105,18695123.58,18.695124
1402WOL0037,4147178,971556,Wolf Lake,1102000,1.102,5971545.698,5.971546
1104HEN0715,22303181,952590,Henderson Lake,1088000,1.088,44057627.08,44.057627
0201QUA5359,8968498, , ,1087000,1.087,74222935.61,74.222936
1401WHI0117,4146956,971105,White Lake,1079000,1.079,4060383.857,4.060384
0903SHA0324,15468539,964925,Shallow Lake,1071000,1.071,15352108.75,15.352109
1104IRE0136A,22295456,953753,Ireland Vly,1066000,1.066,41193444.38,41.193444
0903STO0191,15465983,966567,Stony Creek Ponds,1054000,1.054,81568494.36,81.568494
0906MUS0008,15483329,979953,Muskellunge Lake,1053000,1.053,10084646.55,10.084647
0801FOR0944,15517650,950434,Forestport Reservoir,1049000,1.049,649477815.2,649.477815
1301BUR0386C,6185654, , ,1047000,1.047,5484963.669,5.484964
1104ROC0637,22306179,962711,Rock Lake,1045000,1.045,60272801.83,60.272802
1101BAL1090,22289677, , ,1037000,1.037,27380187.36,27.380187
0903GRA0255,15466409,951470,Grampus Lake,1034000,1.034,20269118,20.269118
0701GRE5021,21972080, , ,1016000,1.016,8902039.117,8.902039
0602EAT0163,9419507,949321,Eaton Reservoir,1013000,1.013,19887750.14,19.88775
0903HIT0144,15466197,976443,Hitchins Pond,1013000,1.013,134730321.3,134.730321
1201PLE0745,22739247,960711,Pleasant Lake,998000,0.998,5132478.761,5.132479
0801OTT0676,15512098,943934,Big Otter Lake,990000,0.99,57440305.31,57.440305
1006TRO0379,10312186,967881,Trout Lake,985000,0.985,8842453.554,8.842454
1302PEA0093,6225032, , ,981000,0.981,4657338.357,4.657338
1401STJ0096,4147134,963765,Saint Josephs Lake,979000,0.979,12985158.32,12.985158
1003MCK0088,9523473,956799,McKenzie Pond,966000,0.966,4891957.719,4.891958
1401BLA0103,4146990, , ,965000,0.965,34221727.97,34.221728
1203WES0931,22738073,970775,West Lake,956000,0.956,4719654.094,4.719654
0903MOO0286,15468255,957630,Moose Pond,952000,0.952,20574696.5,20.574696
0302BLI0077,21631201, , ,946000,0.946,36111775.5,36.111776
1304WHA0353,6211278,970972,Whaley Lake,945000,0.945,10651806.64,10.651807
0801RON0739,15509818,962848,Lake Rondaxe,945000,0.945,146028150.7,146.028151
1104ALG0276A,22295028,942322,Lake Algonquin,943000,0.943,672771402.2,672.771402
0903BOG0175,15466377,944386,Bog Lake,943000,0.943,22793843.73,22.793844
1104ROU0687,22303199,963004,Round Pond,938000,0.938,15766841.25,15.766841
1501DEF0977A,6243704, , ,937000,0.937,42479987.21,42.479987
1203MUD0929,22738079, , ,935000,0.935,45501800.51,45.501801
1104LIV0212,22295058,955749,Livingston Lake,935000,0.935,5931780.09,5.93178
0905LRI5273,15489362, , ,926000,0.926,36023790.72,36.023791
1301CRO0397,6185636, , ,922000,0.922,11173355.02,11.173355
0902MAD0225,15454746,976614,Madawaska Pond,917000,0.917,22373165.08,22.373165
0301BUC0153,15557713,945050,Buck Pond,914000,0.914,44231012.44,44.231012
1306CAP0797A,6199572,969960,Cape Pond,913000,0.913,53433651.39,53.433651
1003FLO0142,9523475,950295,Floodwood Pond,909000,0.909,62426926.38,62.426926
0601GOO0360,8083379,951346,Goodyear Lake,909000,0.909,911108945.3,911.108945
0905MOO0071,15490642,957584,Moon Lake,905000,0.905,4446561.199,4.446561
0602TUL0068,9421519,967936,Tully Lake,903000,0.903,39406169.57,39.40617
0801WHI0958,15512310,971108,White Lake,899000,0.899,3291507.338,3.291507
1201KYS0704A,22739327,954838,Kyser Lake,893000,0.893,719563674.1,719.563674
0906MUD0057,15483341,958040,Mud Lake,887000,0.887,13149100.44,13.1491
0301CRA0155,15557695,947673,Cranberry Pond,885000,0.885,3483560.888,3.483561
1302PUT0093B,6224566,962010,Putnam Lake,880000,0.88,31098341.44,31.098341
1402LOU0040,4147102,956052,Lake Louise Marie,879000,0.879,2584706.827,2.584707
0703JAM0144,22026764,953931,Jamesville Reservoir,879000,0.879,112884067.1,112.884067
1701RON0304,9497522,962855,Lake Ronkonkoma,869000,0.869,7540830.446,7.54083
0906IND0038,15483729,953671,Indian Lake,869000,0.869,184718887.1,184.718887
0903SOU0017A,15464343,977031,South Colton Reservoir,866000,0.866,2423034691,2423.034691
1701COL0647,9495704,947079,Cold Spring Pond,863000,0.863,5313684.956,5.313685
1302BOY0076,6224604, , ,859000,0.859,57575984.27,57.575984
1201ECA0703A,22739359,949030,East Canada Lake,854000,0.854,754910310.2,754.91031
1003POL0120,9523469,960867,Polliwog Pond,840000,0.84,3390612.579,3.390613
1104CHE0560,22303719, , ,840000,0.84,116915535.2,116.915535
0801NIC0804,120052796,958578,Nicks Lake,838000,0.838,11080288.96,11.080289
1301CHA0341A,6213022,946335,Chaddwick Lake,837000,0.837,36147150.44,36.14715
1104PIC0691,22303239,960340,Pickwacket Pond,836000,0.836,5930451.414,5.930451
1401SWA0128,4146814,966885,Swan Lake,835000,0.835,32420495.11,32.420495
1104ADI0587A,22305247,971962,Adirondack Lake,824000,0.824,3964492.942,3.964493
0906PLE0006,15483185,976833,Pleasant Lake,824000,0.824,2323968.663,2.323969
0903MAR0165,15466181,976628,Lake Marian,823000,0.823,5199839.991,5.19984
0705DUC0222,22025218,948740,Duck Lake,823000,0.823,7904045.821,7.904046
1401HIG0179,4147276,952785,Highland Lake,817000,0.817,3391309.008,3.391309
0701MUD0013,22025200,958029,Mud Lake,808000,0.808,3378021.229,3.378021
0801ROC0538,15509504,970534,Rock Lake,808000,0.808,4903950.914,4.903951
0905STA0281,15490802,977056,Star Lake,803000,0.803,2560355.72,2.560356
1402PLE0045,4146924,960750,Pleasure Lake,802000,0.802,35495864.33,35.495864
1104KIN0588A,22305301,954663,Kings Flow,797000,0.797,49683277.03,49.683277
1401SUP0104,4146988,966857,Lake Superior,780000,0.78,12631602.9,12.631603
0303LAK1031,21622949,973616,Lakeview Pond,780000,0.78,15694431.28,15.694431
1005HAD0432,10313022,951980,Hadlock Pond,777000,0.777,23808522.35,23.808522
0904GRA0366,15476487,976365,Grass River Flow,775000,0.775,110740926.9,110.740927
0905LON0237,15494468,955919,Long Pond,775000,0.775,52728158.96,52.728159
1303BRO0226A,6216324,944955,Browns Pond,770000,0.77,4963955.772,4.963956
1306STU0453A,6199528,966667,Sturgeon Pool,765000,0.765,2027830333,2027.830333
0801KOR0883,15509866,954805,Lake Kora,764000,0.764,11208272.11,11.208272
0902FOL0238,15457236,950358,Follensby Junior Pond,761000,0.761,17983574.58,17.983575
0701PAR0197,22025210,959910,Parker Pond,752000,0.752,31049566.17,31.049566
1401MOH0173,4147290,957487,Mohican Lake,750000,0.75,7333838.563,7.333839
1601IND1131,7711120,970232,Indian Lake,746000,0.746,4010644.13,4.010644
0903MOO0221,15466365,957631,Moose Pond,741000,0.741,4541943.292,4.541943
0602MOR0152,9419513,957641,Lake Moraine,734000,0.734,21074899.38,21.074899
1301VLY0262A,6185650, , ,722000,0.722,8528698.384,8.528698
1302CAR0062A,6224608,945861,Lake Carmel,720000,0.72,33767782.22,33.767782
0903BRI0178,15466085,976024,Bridge Brook Pond,720000,0.72,30943611.46,30.943611
0303HYD0391,15504396,953557,Hyde Lake,713000,0.713,5260602.567,5.260603
0102ATT0020A,15568453,942679,Attica Reservoir,712000,0.712,6049160.924,6.049161
0303NCO1039B,21622971,958756,North Colwell Pond,706000,0.706,4035214.404,4.035214
0903JOR0046,15465751,976505,Jordan Lake,700000,0.7,7939221.96,7.939222
0303LIG0018A,21621557,956104,Lower Reservoir,694000,0.694,506353162.7,506.353163
1301DYK0445,6185508, , ,690000,0.69,3185776.507,3.185777
1303TOM0240D,6216340,967623,Tomahawk Lake,688000,0.688,74259011.49,74.259011
1301WEL0150C,6229660,969026,Lake Welch,686000,0.686,7442862.054,7.442862
1201PIN0724,22739243,960502,Pine Lake,679000,0.679,28882808.24,28.882808
1005PEN0351A,10311550,960139,Penfield Pond,677000,0.677,76680004.42,76.680004
1201SPE0760,22739197,965962,Spectacle Lake,677000,0.677,5220609.406,5.220609
1306WIC0698,6200940,971213,Wickham Lake,676000,0.676,14621135.43,14.621135
1203SPR0908,22738107,966128,Spruce Lake,675000,0.675,8545341.315,8.545341
1104HEW0388,22303759,952656,Hewitt Pond,669000,0.669,5936410.086,5.93641
1302BLA0080,6224132,944160,Black Pond,666000,0.666,5893796.544,5.893797
0303SIX1030,21622887,970050,Crystal Lake,666000,0.666,15198340.42,15.19834
1303WAS0225,6216312,968874,Lake Washington,663000,0.663,2408718.676,2.408719
1701FOR0755,9494732,950494,Fort Pond,661000,0.661,2861737.849,2.861738
1004BUT0218,9527515,945386,Butternut Pond,657000,0.657,14311835.59,14.311836
1401CLI0100,4147126,946864,Cliff Lake,656000,0.656,96602768.03,96.602768
0903LWO0095,15465933,955732,Little Wolf Pond,654000,0.654,27425967.24,27.425967
1310NAS0034,6185688, , ,654000,0.654,43532538.59,43.532539
1308TAG0869,6187992,966998,Lake Taghkanic,653000,0.653,6555980.69,6.555981
0903TRO0146,15466253,977140,Trout Pond,652000,0.652,2994801.222,2.994801
0906OTH0009,15483287,971714,Lake of the Woods,651000,0.651,2703575.059,2.703575
0903SAG0313,15468635,963223,Sagamore Lake,651000,0.651,46781595.49,46.781595
1303BEA0234,6216334,943457,Beaverdam Lake,650000,0.65,24518934.52,24.518935
1302GLE0074,6224774,951208,Lake Gleneida,648000,0.648,1668733.655,1.668734
1403TEN0281,1749561,967162,Tennanah Lake,646000,0.646,6542413.91,6.542414
1702BRY1106,7730927, , ,646000,0.646,3226795.279,3.226795
0302EAS0093,21631251, , ,639000,0.639,67238412.12,67.238412
1004UAU0277,9527799,968258,Upper Ausable Lake,637000,0.637,41048719.61,41.04872
