"LOCATION_NAME","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE","SAMPLE_DATE","INFORMATION_TYPE","CHARACTERISTIC_NAME","RSLT_PROFILE_DEPTH","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT","WCFD_EQUIPMENT_TYPE","WCFD_EQUIPMENT_DESC"
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2017-09-27,"epilimnion sample","CHLOROPHYLL A",NA,6.2,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2022-08-21,"epilimnion sample","CHLOROPHYLL A",NA,4.666,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2021-07-12,"epilimnion sample","CHLOROPHYLL A",NA,2.384,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2021-07-26,"epilimnion sample","CHLOROPHYLL A",NA,11.754,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2022-06-13,"epilimnion sample","CHLOROPHYLL A",NA,1.9652,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2022-07-11,"epilimnion sample","CHLOROPHYLL A",NA,5.712,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2020-09-15,"epilimnion sample","CHLOROPHYLL A",NA,3.062,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2022-08-08,"epilimnion sample","CHLOROPHYLL A",NA,7.66,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2020-08-31,"epilimnion sample","CHLOROPHYLL A",NA,4.556,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2021-06-07,"epilimnion sample","CHLOROPHYLL A",NA,10.112,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-08-05,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,3.872,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2022-09-05,"epilimnion sample","CHLOROPHYLL A",NA,8.024,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-08-22,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,4.029,"RFU","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2021-09-20,"epilimnion sample","CHLOROPHYLL A",NA,5.266,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2021-09-07,"epilimnion sample","CHLOROPHYLL A",NA,11.832,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2018-08-05,"epilimnion sample","CHLOROPHYLL A",NA,5.3,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2022-09-26,"epilimnion sample","CHLOROPHYLL A",NA,4.656,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL1 NORTH (2017-)",-76.72571,42.81775,2021-08-24,"epilimnion sample","CHLOROPHYLL A",NA,8.042,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-06-28,"epilimnion sample","CHLOROPHYLL A",NA,8.9,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",23.099,0.2,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",79.808,0.15,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",26.591,0.67,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",23.099,0.67,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",57.338,0.1,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",31.03,0.67,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",80.102,0.26,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",29.894,0.2,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",0.425,0.35,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-06-17,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,2.88,"RFU","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",32.809,0.75,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",80.213,0.13,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",6.996,0.59,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-08-21,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,1.038,"RFU","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",1.274,0.47,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",1.713,1.93,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-07-23,"epilimnion sample","CHLOROPHYLL A",NA,6.9,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-08-06,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,1.178,"RFU","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2021-09-19,"epilimnion sample","CHLOROPHYLL A",NA,5.018,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-07-10,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,0.33,"RFU","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2022-08-07,"epilimnion sample","CHLOROPHYLL A",NA,2.346,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-06-17,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,8.025,"RFU","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-06-17,"epilimnion sample","CHLOROPHYLL A",NA,5.4,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2022-06-12,"epilimnion sample","CHLOROPHYLL A",NA,3.718,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-07-23,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,8.523,"RFU","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2021-09-06,"epilimnion sample","CHLOROPHYLL A",NA,9.71,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-08-06,"epilimnion sample","CHLOROPHYLL A",NA,5.3,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-08-06,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,8.31,"RFU","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",8.767,1.23,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",0.916,1.56,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",1.274,1.77,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2022-06-26,"epilimnion sample","CHLOROPHYLL A",NA,3.474,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2022-07-10,"epilimnion sample","CHLOROPHYLL A",NA,5.018,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",2.655,3.02,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2022-07-24,"epilimnion sample","CHLOROPHYLL A",NA,3.594,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",5.159,0.78,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-09-21,"epilimnion sample","CHLOROPHYLL A",NA,6.026,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",45.044,0.16,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",25.676,0.22,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",0.678,0.38,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",6.43,0.7,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2020-09-20,"epilimnion sample","CHLOROPHYLL A",NA,2.798,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2021-06-13,"epilimnion sample","CHLOROPHYLL A",NA,6.738,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2021-06-27,"epilimnion sample","CHLOROPHYLL A",NA,4.458,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2021-07-11,"epilimnion sample","CHLOROPHYLL A",NA,7.236,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2022-09-06,"epilimnion sample","CHLOROPHYLL A",NA,4.748,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-07-10,"epilimnion sample","CHLOROPHYLL A (PROBE)",NA,2.971,"RFU","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-07-10,"epilimnion sample","CHLOROPHYLL A",NA,2.8,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2017-07-23,"hypolimnion sample","CHLOROPHYLL A (PROBE)",NA,0.98,"RFU","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2022-09-25,"epilimnion sample","CHLOROPHYLL A",NA,6.064,"ug/L","KEMMERER",""
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",7.434,1.54,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",29.894,0.68,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",0.425,1.29,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",36.681,0.55,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",80.102,0.1,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",4.559,3.73,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",50.646,0.14,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",59.876,0.15,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",40.941,0.52,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",67.59,0.12,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",26.591,0.2,"RFU","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",38.676,0.51,"ug/L","PROBE/SENSOR","YSI EXO"
"CAYUGA LAKE CSL2 SOUTH (2017-) SAME AS HISTORIC MS",-76.5975,42.55517,2019-08-05,"depth profile","CHLOROPHYLL A (PROBE)",3.836,3.76,"ug/L","PROBE/SENSOR","YSI EXO"
