NHD_new,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,SUM,LDI_streams_no_water,LDI_streams,LkAcres,Perimeter,BASIN_NAME,M_BASIN_ID,M_BAS_NAME,PWL_ID,NAME,BASIN,Ws_Acres,LAKE_ID,Location_I,Long,Lat,Region,County,Type,LocType
W02020004002995,67500,810900,304200,46800,18000,1800,32400,38700,142200,900,2700,40500,1800,631800,21600,2161800,4.516566394,4.406765658,13.475,1123.666187,Mohawk River Main Stem,12,Mohawk River Basin, , , ,2730.195313,1201UWB0503,1201UWB0503_DH,-73.8094799,42.843475,5,Saratoga,Lake,Deep Hole
W04130001001298,35100,37800,24300,900,0,0,67500,0,9900,0,0,22500,1009800,0,0,1207800,4.430744436,4.331044047,12.0439,1156.401395,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,1110.157471,0301UWB5457,0301UWB5457_C,-78.0709991,43.3689003,8,Orleans,Lake,Centroid
W04130001001225,49500,17100,12600,0,0,0,0,2700,0,0,0,93600,355500,0,2700,533700,4.506171004,4.180979951,9.818147285,1090.540329,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,320.6902466,0301UWB5404,0301UWB5404_C,-77.955101,43.354599,8,Monroe,Lake,Centroid
W04130001001389,6300,72900,29700,1800,0,0,8100,0,29700,0,0,152100,1028700,63900,90000,1483200,4.178190128,4.164691208,15.563,1663.185596,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,1063.490723,0301UWB0164B,0301UWB0164B_C,-77.9298019,43.3568001,8,Monroe,Lake,Centroid
W04120104001068,234000,980100,519300,255600,86400,29700,337500,0,5400,109800,231300,380700,867600,961200,241200,5239800,4.309158576,4.161377724,29.6018,3517.961453,Niagara River Main Stem,1,Lake Erie-Niagara River Basin,0101-0030,Hyde Park Lake,Lake Erie-Niagara River,5831.039063,0101HYDXXX1,0101HYDXXX1_C,-79.022324,43.100662,9,Niagara,Lake,Centroid
W02020004002994,22500,254700,112500,32400,18000,0,6300,17100,24300,0,900,5400,900,337500,15300,847800,4.174154853,4.089916254,7.415231872,961.9490358,Mohawk River Main Stem,12,Mohawk River Basin, , , ,1493.930298,,,0,0,0,,,
W02020004003045,23400,250200,216900,236700,81000,2700,27000,0,120600,0,1800,70200,106200,738000,46800,1921500,4.007918445,3.971288577,12.5932,1364.507759,Mohawk River Main Stem,12,Mohawk River Basin,1201-0096,"Ann Lee (Shakers) Pond, Stump Pond",Mohawk River,2305.199707,1201ANN0496,1201ANN0496_C,-73.8130035,42.7378998,4,Albany,Lake,Centroid
W04120103001024,3600,70200,72000,40500,19800,1800,72000,0,0,0,0,99000,3600,141300,20700,544500,3.977620632,3.957935721,8.708813302,1490.366018,Buffalo River,1,Lake Erie-Niagara River Basin, , , ,585.371582,0103UWB5346,0103UWB5346_C,-78.7774963,42.8666,9,Erie,Lake,Centroid
W04140101000937,44100,21600,32400,13500,1800,1800,24300,0,0,0,900,0,0,11700,5400,157500,5.024920635,3.897949206,25.511,1550.357862,Lake Ontario Central Section,3,Lake Ontario & Minor Tribs., , , ,64.9641113,,,0,0,0,,,
W04140101000921,33300,356400,165600,65700,4500,7200,260100,0,171000,0,2700,213300,111600,204300,59400,1655100,3.890776915,3.832616156,7.478860728,905.1016467,Lake Ontario Central Section,3,Lake Ontario & Minor Tribs., , , ,2524.987305,0302UWB5476,0302UWB5476_C,-77.5186996,43.1730995,8,Monroe,Lake,Centroid
W04130001001296,55800,8100,5400,3600,0,0,0,0,0,0,0,0,162000,7200,1800,243900,4.614832536,3.787826978,11.1861,1204.994515,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,197.8707275,0301UWB5459,0301UWB5459_C,-78.1016998,43.3722,8,Orleans,Lake,Centroid
W02020004003002,79200,60300,35100,23400,900,0,5400,0,43200,0,900,27000,0,22500,0,297900,4.754320988,3.75619671,11.9882,851.0594322,Mohawk River Main Stem,12,Mohawk River Basin, , , ,125.8207855,,,0,0,0,,,
W04140101000924,1513800,18470700,7154100,3637800,1125900,356400,19008900,239400,5403600,322200,379800,14023800,7740000,14743800,1522800,95643000,3.747488144,3.704001987,11.0206,1200.567955,Lake Ontario Central Section,3,Lake Ontario & Minor Tribs., , , ,88106.03906,0302UWB0118A,0302UWB0118A_C,-77.5277023,43.1641006,8,Monroe,Lake,Centroid
W02020004002997,74700,1205100,472500,64800,18000,1800,82800,71100,278100,900,7200,114300,1800,1720800,85500,4199400,3.695533493,3.647584893,18.7794,1474.42125,Mohawk River Main Stem,12,Mohawk River Basin, , , ,4873.327637,,,0,0,0,,,
W04120103000945,25200,27900,4500,900,0,0,0,0,13500,0,900,5400,0,0,5400,83700,4.711846154,3.594313023,7.644527046,740.9200987,"Eastern Lake Erie (Big Sister, 18 Mile Creeks)",1,Lake Erie-Niagara River Basin, , , ,76.6238785,0104UWB5310,0104UWB5310_C,-78.7167969,42.7538986,9,Erie,Lake,Centroid
W04140101000945,35100,10800,0,0,0,0,75600,0,2700,0,0,109800,325800,35100,5400,600300,3.685987261,3.528937198,8.874283822,773.987754,Lake Ontario Central Section,3,Lake Ontario & Minor Tribs., , , ,380.851593,0302UWB5367,0302UWB5367_C,-77.5203018,43.026001,8,Monroe,Lake,Centroid
W04120104001101,46800,69300,31500,9900,0,0,2700,0,0,0,0,0,0,103500,5400,269100,4.054008097,3.52287997,28.1344,3331.718192,Niagara River Main Stem,1,Lake Erie-Niagara River Basin, , , ,216.5493774,0101UWB5007,0101UWB5007_C,-78.911499,43.0290985,9,Erie,Lake,Centroid
W04140102001149,23400,14400,0,0,0,0,12600,900,0,18000,900,74700,188100,48600,6300,387900,3.67854321,3.516963135,9.964683632,901.2488609,Lake Ontario Eastern Section,3,Lake Ontario & Minor Tribs., , , ,438.7163391,0303UWB5599,0303UWB5599_C,-75.7795029,43.9664001,6,Jefferson,Lake,Centroid
W04140101000912,47700,12600,13500,2700,900,0,900,0,0,0,900,13500,15300,2700,900,111600,5.39,3.513637993,15.5683,1142.509444,Lake Ontario Central Section,3,Lake Ontario & Minor Tribs., , , ,96.7672348,0302UWB5236,0302UWB5236_C,-77.4432983,43.2184982,8,Monroe,Lake,Centroid
W04130001001238,252000,2216700,1312200,254700,57600,24300,2742300,1800,806400,34200,36000,1091700,608400,1881900,324900,11645100,3.563884193,3.508401817,17.7562,1686.586305,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,9378.836914,,,0,0,0,,,
W04120103001020,0,1800,0,0,0,0,3600,0,9900,0,0,7200,25200,0,0,47700,3.507169811,3.507190776,6.786275606,654.4539827,Buffalo River,1,Lake Erie-Niagara River Basin, , , ,107.1152039,,,0,0,0,,,
W04140101000906,0,23400,16200,18900,1800,0,140400,900,900,0,0,119700,129600,9900,8100,469800,3.488409962,3.48841209,11.5131,1570.372208,Lake Ontario Central Section,3,Lake Ontario & Minor Tribs., , , ,305.1745911,0302UWB0108N,0302UWB0108N_C,-77.3599014,43.2305984,8,Wayne,Lake,Centroid
W04150102000335,153900,15300,23400,4500,900,12600,27000,0,900,4500,8100,775800,287100,72000,67500,1453500,3.721911357,3.433709666,38.8457,3223.593619,Lake Ontario Eastern Section,3,Lake Ontario & Minor Tribs., , , ,2200.011963,0303SHE0389,0303SHE0389_C,-76.1673965,43.9749985,6,Jefferson,Lake,Centroid
W02020004003022,900,12600,10800,2700,0,0,179100,15300,4500,18000,900,153000,313200,0,0,711000,3.408998733,3.405950774,12.1607,1285.802025,Mohawk River Main Stem,12,Mohawk River Basin, , , ,266.0205688,1201UWB0961A,1201UWB0961A_C,-75.2670975,43.0294991,6,Oneida,Lake,Centroid
W04120104001164,81900,82800,155700,116100,51300,3600,57600,0,27900,0,4500,36900,87300,561600,72000,1339200,3.495268432,3.342668757,24.4052,1304.974725,Tonawanda Creek,1,Lake Erie-Niagara River Basin, , , ,1342.104858,0102UWB5109,0102UWB5109_C,-78.7062988,42.9483986,9,Erie,Lake,Centroid
W04120104001206,16200,19800,4500,0,0,900,10800,12600,12600,0,0,83700,6300,1800,3600,172800,3.583390805,3.341203704,15.1098,1202.49885,Tonawanda Creek,1,Lake Erie-Niagara River Basin, , , ,116.6592026,0102UWB5263,0102UWB5263_C,-78.2857971,42.6701012,9,Wyoming,Lake,Centroid
W02020004003005,129600,246600,175500,60300,2700,900,26100,11700,646200,6300,6300,250200,0,40500,1800,1604700,3.526473459,3.322429114,12.5139,1343.241097,Mohawk River Main Stem,12,Mohawk River Basin, , , ,1078.530884,,,0,0,0,,,
W04130001001232,712800,2431800,1598400,315000,60300,25200,2917800,1800,814500,35100,37800,1253700,639900,2078100,1467900,14390100,3.43619925,3.315524493,225.926,10616.22423,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs.,0301-0017,Buck Pond,Lake Ontario,10929.72168,0301BUC0153,0301BUC0153_DH,-77.66383,43.28151,8,Monroe,Lake,Deep Hole
W04140102001179,350100,58500,19800,1800,0,45900,85500,0,11700,8100,5400,546300,1050300,167400,296100,2646900,3.637758621,3.28886811,192.611,4817.102201,Lake Ontario Eastern Section,3,Lake Ontario & Minor Tribs.,0303-0052,Lakeview Pond,Lake Ontario,3878.178467,0303LAK1031,0303LAK1031_C,-76.2065964,43.7489014,6,Jefferson,Lake,Centroid
W04130001001399,41400,11700,13500,10800,0,0,2700,0,5400,0,0,0,0,12600,1800,99900,4.886307692,3.275775776,16.5395,1124.691714,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,249.442749,,,0,0,0,,,
W04120103001010,46800,7200,12600,7200,0,900,10800,0,0,0,0,0,20700,2700,2700,111600,4.876111111,3.250654122,9.186707183,847.6122145,Buffalo River,1,Lake Erie-Niagara River Basin, , , ,54.5674591,0103UWB5112,0103UWB5112_C,-78.6271973,42.9127998,9,Erie,Lake,Centroid
W04120102000684,13500,0,0,0,0,29700,30600,0,22500,0,4500,18900,79200,12600,45000,256500,3.306185185,3.184810916,9.018344119,789.4083658,"Eastern Lake Erie (Big Sister, 18 Mile Creeks)",1,Lake Erie-Niagara River Basin, , , ,946.8738403,,,0,0,0,,,
W02020004003000,602100,1380600,597600,76500,18900,1800,153000,107100,400500,900,21600,117000,2700,2301300,275400,6057000,3.400800198,3.162147268,382.387,18587.97532,Mohawk River Main Stem,12,Mohawk River Basin,1201-0098,Stony Creek (Colonie) Reservoir,Mohawk River,7592.360352,1201STO0503A,1201STO0503A_DH,-73.816167,42.807267,5,Saratoga,Lake,Deep Hole
W02020005000821,39600,27000,5400,0,0,0,6300,0,13500,0,10800,59400,0,13500,9900,185400,3.630740741,3.068840345,9.064153825,971.6897762,Schoharie Creek *,12,Mohawk River Basin, , , ,193.5930023,1202UWB5180,1202UWB5180_C,-74.0465012,42.6230011,4,Albany,Lake,Centroid
W04120103000946,52200,321300,88200,14400,2700,18900,647100,18900,205200,0,9900,114300,32400,5400,6300,1537200,3.141339394,3.068624772,18.4722,1691.185995,"Eastern Lake Erie (Big Sister, 18 Mile Creeks)",1,Lake Erie-Niagara River Basin,0101-0038,Green Lake,Lake Erie-Niagara River,1762.493408,0104GRE5309,0104GRE5309_DH,-78.753512,42.757515,9,Erie,Lake,Deep Hole
W04130001001396,1800,36000,16200,900,0,0,54900,0,4500,4500,0,47700,60300,36000,66600,329400,3.053049451,3.041833637,14.277,1875.65453,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,207.1456909,,,0,0,0,,,
W04130001001311,46800,20700,6300,0,0,2700,9900,0,8100,0,0,9000,900,0,0,104400,4.66171875,3.020268199,10.6369,846.876872,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,32.28862,0301UWB5478,0301UWB5478_C,-78.4608002,43.2804985,8,Orleans,Lake,Centroid
W04120102000707,46800,20700,1800,0,0,5400,155700,20700,98100,0,1800,331200,188100,0,0,870300,3.126797814,3.012431346,15.4233,1133.749654,"Eastern Lake Erie (Big Sister, 18 Mile Creeks)",1,Lake Erie-Niagara River Basin,0104-0066,"Frog Pond, Sucker Pond",Lake Erie-Niagara River,883.6013184,0104SUC0132,0104SUC0132_C,-78.5036011,42.4365997,9,Cattaraugus,Lake,Centroid
W04130001001325,6300,1800,2700,4500,900,0,0,0,0,0,0,0,0,10800,5400,32400,3.497241379,3.011697531,15.5418,1757.092634,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,113.0933762,,,0,0,0,,,
W02020004003053,296100,554400,128700,21600,900,0,2051100,215100,369900,107100,149400,2052900,2545200,999000,158400,9649800,3.07062927,3.007092997,20.9599,1497.109465,Oriskany Creek,12,Mohawk River Basin,1204-0014,Lyons Pond,Mohawk River,9864.100586,1204LYO1044,1204LYO1044_C,-75.4964981,42.9187012,7,Madison,Lake,Centroid
W02020004003055,172800,68400,9900,1800,0,0,14400,14400,1800,2700,55800,201600,22500,52200,25200,643500,3.655697897,2.942560995,32.0018,1984.042173,Oriskany Creek,12,Mohawk River Basin,1204-0006,Madison Lake,Mohawk River,686.4887695,1204MAD1051,1204MAD1051_C,-75.5241013,42.9015999,7,Madison,Lake,Centroid
W04130001001254,55800,158400,71100,5400,0,192600,489600,8100,102600,55800,900,601200,3086100,3050100,90900,7968600,2.955580073,2.941886279,12.3939,1467.077887,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs.,0301-0039,Albion Reservoir No.2,Lake Ontario,7849.29834,0301ALB0166H,0301ALB0166H_C,-78.2507019,43.2272987,8,Orleans,Lake,Centroid
W04130001001265,28800,53100,17100,2700,0,0,298800,0,34200,0,900,973800,1285200,1269900,56700,4021200,2.919312444,2.905566498,7.638406195,973.3354047,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs.,0301-0047,Middleport Reservoir,Lake Ontario,5505.279297,0301MID0177A,0301MID0177A_C,-78.4751968,43.1889992,9,Niagara,Lake,Centroid
W04130001001234,184500,1238400,570600,184500,55800,1800,3679200,3600,1197900,39600,82800,1896300,2886300,2868300,240300,15129900,2.898102493,2.874956345,35.028,3285.680636,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs.,0301-0015,Long Pond,Lake Ontario,14143.98535,,,0,0,0,,,
W04140101000856,29700,131400,58500,16200,1800,0,423900,14400,70200,900,12600,84600,60300,38700,5400,948600,2.909020568,2.849251529,8.885210835,760.1240383,Lake Ontario Central Section,3,Lake Ontario & Minor Tribs., , , ,1226.255127,0302UWB5178,0302UWB5178_C,-76.546402,43.4496994,7,Oswego,Lake,Centroid
W04130001001242,3617100,4160700,2205900,598500,217800,292500,11868300,99000,1609200,137700,104400,10304100,51915600,47655000,5904000,140689800,2.891005167,2.842387899,303.172,16711.43549,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs.,0301-0035,Waterport Pond,Lake Ontario,147409.5625,0301WAT0166,0301WAT0166_C,-78.2584991,43.3213005,8,Orleans,Lake,Centroid
W04140101000914,60300,224100,76500,7200,0,0,372600,3600,201600,9900,0,900,0,57600,18900,1033200,2.933755782,2.82089818,19.1374,1767.59951,Lake Ontario Central Section,3,Lake Ontario & Minor Tribs.,0302-0037,"Durand, Eastman Lakes",Lake Ontario,1091.176025,0302EAS0148E,0302EAS0148E_C,-77.5631027,43.2332001,8,Monroe,Lake,Centroid
W04120102000694,32400,15300,2700,900,0,1800,28800,900,16200,0,900,48600,24300,18900,1800,193500,3.163072626,2.800888889,8.565062546,730.6667338,"Eastern Lake Erie (Big Sister, 18 Mile Creeks)",1,Lake Erie-Niagara River Basin, , , ,296.8401794,,,0,0,0,,,
W04130001001223,4500,47700,9900,0,0,0,189000,0,43200,0,3600,333900,301500,300600,70200,1304100,2.79848338,2.7922782,7.904409087,1129.883603,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,1456.265259,0301UWB0158G,0301UWB0158G_C,-77.756897,43.335701,8,Monroe,Lake,Centroid
W04130001001257,1617300,2953800,1500300,493200,206100,59400,5746500,82800,853200,52200,64800,6164100,33843600,37296900,5513400,96447600,2.787397667,2.757425358,86.1389,4881.072891,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs.,0301-0041,Glenwood Lake,Lake Ontario,100622.9688,0301GLE0167,0301GLE0167_C,-78.3890991,43.2333984,8,Orleans,Lake,Centroid
W04130001001372,141300,149400,32400,0,0,0,756000,3600,46800,0,4500,888300,1896300,1430100,522900,5871600,2.789045076,2.745991893,50.3585,2712.147503,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,5379.620117,0301UWB5775,0301UWB5775_C,-78.4326019,43.1110992,8,Genesee,Lake,Centroid
W04130001001229,1076400,1314000,611100,192600,55800,1800,3764700,3600,1203300,44100,82800,1946700,2946600,2980800,763200,16987500,2.853215114,2.735787609,430.028,6161.067227,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs.,0301-0015,Long Pond,Lake Ontario,15738.07129,0301LON0154,0301LON0154_DH,-77.68576,43.29287,8,Monroe,Lake,Deep Hole
W02020004002980,17100,144000,185400,129600,47700,14400,104400,128700,141300,7200,38700,778500,900,1168200,388800,3294900,2.722138935,2.713201615,12.9578,1101.071319,Mohawk River Main Stem,12,Mohawk River Basin, , , ,2849.419434,1201AMS0546,1201AMS0546_C,-74.1820984,42.9511986,4,Montgomery,Lake,Centroid
W04120102000651,81000,18000,2700,0,0,0,121500,162900,99900,0,3600,69300,422100,80100,0,1061100,2.853709826,2.712206201,34.4356,1539.773626,"Eastern Lake Erie (Big Sister, 18 Mile Creeks)",1,Lake Erie-Niagara River Basin, , , ,1516.601807,0104PAR5418,0104PAR5418_C,-78.4981003,42.5579987,9,Erie,Lake,Centroid
W04120102000691,93600,156600,9000,3600,0,0,756900,61200,313200,0,18000,1089900,162900,49500,27000,2741400,2.743052345,2.683539432,18.3709,1084.769028,"Eastern Lake Erie (Big Sister, 18 Mile Creeks)",1,Lake Erie-Niagara River Basin,0104-0067,Beaver Lake,Lake Erie-Niagara River,2805.304688,0104BEA0133,0104BEA0133_C,-78.3965988,42.4472008,9,Cattaraugus,Lake,Centroid
W04120102000695,0,14400,3600,0,0,0,123300,0,31500,0,0,126000,61200,38700,900,399600,2.677747748,2.67775025,7.685487643,1001.582858,"Eastern Lake Erie (Big Sister, 18 Mile Creeks)",1,Lake Erie-Niagara River Basin, , , ,347.3576355,0104UWB5720,0104UWB5720_C,-78.4321976,42.4427986,9,Cattaraugus,Lake,Centroid
W04120103001023,1800,24300,9000,1800,0,0,88200,0,16200,0,7200,31500,0,3600,6300,189900,2.688133971,2.672137967,26.063,1854.535216,Buffalo River,1,Lake Erie-Niagara River Basin, , , ,116.9073105,,,0,0,0,,,
W02020004002992,12600,4500,0,0,0,0,0,16200,5400,0,11700,32400,1800,4500,900,90000,2.937790698,2.666511111,9.023372419,1102.469803,Mohawk River Main Stem,12,Mohawk River Basin, , , ,123.1230621,,,0,0,0,,,
W04120102000675,17100,25200,4500,0,0,0,109800,9900,72900,0,0,188100,62100,25200,34200,549000,2.717478849,2.663985428,21.7298,1805.748625,"Eastern Lake Erie (Big Sister, 18 Mile Creeks)",1,Lake Erie-Niagara River Basin,0104-0068,Skim Lake,Lake Erie-Niagara River,826.2439575,0104SKI0141,0104SKI0141_C,-78.3775024,42.4812012,9,Cattaraugus,Lake,Centroid
W04130001001289,9900,0,0,0,0,0,25200,0,15300,0,0,54000,13500,0,0,117900,2.8125,2.660313825,32.8026,1612.744347,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs.,0301-0012,Bond Lake,Lake Ontario,118.0813293,0301BON0190B,0301BON0190B_C,-78.9167023,43.1815987,9,Niagara,Lake,Centroid
W02020004003050,90900,376200,73800,16200,900,4500,1252800,111600,936900,19800,118800,4503600,360900,1718100,650700,10235700,2.653573456,2.638888693,20.9228,2384.926913,Mohawk River Main Stem,12,Mohawk River Basin, , , ,12357.20898,1201UWB0679,1201UWB0679_C,-74.5077972,42.7759018,4,Schoharie,Lake,Centroid
W04130001001286,38700,17100,3600,900,0,0,18000,0,5400,0,2700,0,2700,900,0,90000,3.855438596,2.627611111,7.815193497,1085.869937,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,285.8464966,0301UWB0168E,0301UWB0168E_C,-78.2798996,43.0573997,8,Genesee,Lake,Centroid
W04130001001345,3600,0,0,0,0,0,18000,0,6300,0,0,54000,0,9900,0,91800,2.67755102,2.611775599,11.5719,933.4202297,Lake Ontario Western Section,3,Lake Ontario & Minor Tribs., , , ,78.4278641,0301UWB0190A,0301UWB0190A_C,-78.9263,43.1832008,9,Niagara,Lake,Centroid
W02020004003043,9900,465300,69300,16200,4500,0,2133900,88200,411300,106200,65700,1297800,1102500,1050300,75600,6896700,2.607775745,2.605467977,7.705192253,740.9840386,Mohawk River Main Stem,12,Mohawk River Basin, , , ,8378.461914,1201UWB0982,1201UWB0982_C,-75.2501984,42.9757004,6,Oneida,Lake,Centroid
W04150102000329,1472400,864900,816300,81900,8100,54000,6128100,350100,545400,153000,191700,18774900,869400,8844300,2496600,41651100,2.65611518,2.597570196,941.039,9966.864619,Lake Ontario Eastern Section,3,Lake Ontario & Minor Tribs., , , ,46904.30859,,,0,0,0,,,
W02020004002932,45900,0,1800,900,0,38700,61200,22500,55800,11700,2700,11700,33300,7200,900,294300,2.888913043,2.594315324,8.161236864,976.0375102,West Canada Creek,12,Mohawk River Basin, , , ,94.0064392,,,0,0,0,,,
W02020004003004,22500,227700,25200,900,0,0,2102400,236700,614700,54900,93600,1341000,1422900,502200,40500,6685200,2.577424017,2.57211512,8.332391708,1190.903634,Oriskany Creek,12,Mohawk River Basin, , , ,7932.666016,1204UWB0996A,1204UWB0996A_C,-75.4539032,43.0924988,6,Oneida,Lake,Centroid
W04150102001997,1731600,911700,856800,84600,8100,54000,6546600,353700,553500,165600,205200,19666800,879300,9580500,2816100,44414100,2.631150237,2.567555596,414.317,7560.907877,Lake Ontario Eastern Section,3,Lake Ontario & Minor Tribs., , , ,50405.84766,0303UWB5011,0303UWB5011_C,-75.9890976,44.0760002,6,Jefferson,Lake,Centroid
W04140102001158,282600,51300,4500,0,0,0,187200,10800,12600,65700,15300,310500,545400,552600,16200,2054700,2.816028441,2.566255414,164.392,3940.802327,Lake Ontario Eastern Section,3,Lake Ontario & Minor Tribs.,0303-0047,Crystal Lake,Lake Ontario,3755.591797,0303SIX1030,0303SIX1030_DH,-76.12647333,43.82914667,6,Jefferson,Lake,Deep Hole
W04150102000325,1287000,547200,471600,47700,900,11700,3637800,189900,388800,54900,83700,10462500,829800,5792400,1137600,24943500,2.629944835,2.54584525,533.619,7079.342698,Lake Ontario Eastern Section,3,Lake Ontario & Minor Tribs.,0303-0041,Perch Lake,Lake Ontario,25199.28125,0303PER0390,0303PER0390_C,-75.8992996,44.1207008,6,Jefferson,Lake,Centroid
W04120103001001,198900,65700,12600,0,0,0,270000,187200,254700,900,3600,401400,351900,107100,6300,1860300,2.700747562,2.518907166,47.9483,1948.090335,"Eastern Lake Erie (Big Sister, 18 Mile Creeks)",1,Lake Erie-Niagara River Basin, , , ,1243.018799,,,0,0,0,,,
W04140101000943,27900,19800,3600,0,0,0,31500,0,9900,0,0,0,0,0,0,92700,3.168333333,2.515738943,7.346067007,763.2102308,Lake Ontario Central Section,3,Lake Ontario & Minor Tribs., , , ,145.0410919,0302UWB0135,0302UWB0135_C,-77.4672012,43.0335999,8,Ontario,Lake,Centroid
W04150102000324,27900,81900,75600,5400,6300,0,658800,52200,64800,24300,30600,1985400,900,1072800,280800,4367700,2.521754459,2.512034022,17.9958,2885.545702,Lake Ontario Eastern Section,3,Lake Ontario & Minor Tribs., , , ,6600.442383,,,0,0,0,,,
W04120104001122,0,6300,11700,900,0,0,4500,0,900,0,0,11700,0,36000,27900,99900,2.510990991,2.511001001,14.3293,1319.154993,Tonawanda Creek,1,Lake Erie-Niagara River Basin, , , ,64.3644257,0102UWB5084,0102UWB5084_C,-78.6051025,42.9710007,9,Erie,Lake,Centroid
