COMID,LkAcres,OBJECTID,LAKE_FIN,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,ReachCode,FType,FCode,PERMIT_BAS,BASIN_NAME,M_BASIN_ID,M_BAS_NAME,POND_NUM,WATER,WATER_ALT,LAKE_ID,PWLID,FDATE,RESOLUTION,GNIS_ID,GNIS_NAME,AREASQKM,REACHCODE,FTYPE,FCODE,WsAcres,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,VALUE_TOTAL,VALUE_TOTAL_EXCLUDING_WATER
9523305,84.11598545,2587,SLC-32-P257A-5-P264-1-P265-1-P267A,9523305,10/11/1999,3,955581,Little Long Pond,0.341,4.15031E+12,390,39004,2-Sep,St. Regis-Salmon-Chateaugay Rivers,9,St. Lawrence River Basin,267A,Little Long Pond,,0902LLO0267A,,10/11/1999,Medium,955581,Little Long Pond,0.341,4.15031E+12,LakePond,39004,494.9364186,369,0,0,0,0,0,57.75026911,38.10548977,1.82992465,0.538213132,0.645855759,0,0,1.022604952,0.107642626,2227,1858
9523279,6.966918852,0,,,,0,,,0,,0,0,,,,,,,,,,10/11/1999,Medium,,,0.028,4.15041E+12,LakePond,39004,3363.436741,33,2.172041587,0.370836368,0.013244156,0.013244156,0.496655851,12.8865638,38.38156413,4.940070194,2.827627309,1.787961062,11.28402093,5.436726045,19.21727038,0.172174028,15134,15101
9523195,7.116385538,0,,,,0,,,0,,0,0,,,,,,,,,,10/11/1999,Medium,,,0.029,4.15041E+12,LakePond,39004,85.57435088,3,0,0,0,0,0.261780105,18.58638743,64.92146597,4.97382199,0,2.356020942,0,0,7.329842932,1.570680628,385,382
9523177,8.095387762,0,,,,0,,,0,,0,0,,,,,,,,,,10/11/1999,Medium,,,0.033,4.15041E+12,LakePond,39004,1208.393348,13,2.6179941,0.626843658,0,0,0.018436578,45.02212389,20.31710914,4.885693215,18.45501475,0.276548673,0,0,7.448377581,0.331858407,5437,5424
9523157,93.83205382,0,,,,0,,,0,,0,0,,,,,,,,,,10/11/1999,Medium,970010,Clear Pond,0.38,4.15041E+12,LakePond,39004,5416.318869,3079,2.813263197,0.093931993,0.0046966,0,0.014089799,42.45256434,38.06594026,3.18899117,1.718955476,1.033251926,0.131504791,0,9.952094683,0.530715762,24371,21292
9523155,19.22113507,327,C-P69,9523155,10/11/1999,3,970319,Loon Lake,0.078,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,69,Loon Pond,,1003LOO0069,1003-0064,10/11/1999,Medium,970319,Loon Lake,0.078,4.15041E+12,LakePond,39004,290.9266461,92,0,0,0,0,0,44.45357436,38.86606409,11.33935908,2.465078061,0.739523418,0,0,2.136400986,0,1309,1217
9523149,46.38042176,125,C-15-22-P66-P70-1-P62,9523149,10/11/1999,3,970646,Square Pond,0.188,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,62,Square Pond,,1003SQU0062,1003-0064,10/11/1999,Medium,970646,Square Pond,0.188,4.15041E+12,LakePond,39004,127.5782576,222,0,0,0,0,0,29.26136364,53.97727273,6.25,8.806818182,1.704545455,0,0,0,0,574,352
9523147,514.0643552,123,C-15-22-P66,9523147,10/11/1999,3,,,2.082,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,66,Rainbow Lake,,1003RAI0066,1003-0065,10/11/1999,Medium,,,2.082,4.15041E+12,LakePond,39004,5416.318869,3079,2.813263197,0.093931993,0.0046966,0,0.014089799,42.45256434,38.06594026,3.18899117,1.718955476,1.033251926,0.131504791,0,9.952094683,0.530715762,24371,21292
9523125,20.99405747,326,C-P64,9523125,10/11/1999,3,959467,Oregon Pond,0.085,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,64,Oregon Pond,,1003ORE0064,,10/11/1999,Medium,959467,Oregon Pond,0.085,4.15041E+12,LakePond,39004,106.6871178,102,20.8994709,0.793650794,0.529100529,0,0.264550265,9.523809524,60.58201058,2.116402116,1.322751323,1.322751323,0,0,2.645502646,0,480,378
9522643,31.32810195,128,C-15-35-P75,9522643,8/13/1999,3,947680,Cranberry Pond,0.127,4.15041E+12,390,39009,3-Oct,Saranac River,10,Lake Champlain River Basin,75,Cranberry Pond,,1003CRA0075,1003-0110,8/13/1999,Medium,947680,Cranberry Pond,0.127,4.15041E+12,LakePond,39009,286.283462,147,0,0,0,0,0,92.37510955,4.382120947,0,3.2427695,0,0,0,0,0,1288,1141
9522143,123.7328532,67,C-15-22-29-P61,9522143,10/11/1999,3,945057,Buck Pond,0.501,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,61,Buck Pond,,1003BUC0061,1003-0063,10/11/1999,Medium,945057,Buck Pond,0.501,4.15041E+12,LakePond,39004,995.0200097,595,1.05615662,0.025759918,0,0,0,51.08191654,38.82019578,3.374549201,0.051519835,0.386398764,0,0,4.997424008,0.206079341,4477,3882
9522129,19.01569785,325,C-P59,9522129,10/11/1999,3,953190,Hope Pond,0.077,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,59,Big Hope Pond,,1003HOP0059,1003-0064,10/11/1999,Medium,953190,Hope Pond,0.077,4.15041E+12,LakePond,39004,286.7105822,136,3.466204506,0,0,0,0.086655113,54.07279029,25.38994801,2.339688042,8.318890815,0.433275563,0,0,5.89254766,0,1290,1154
9522117,8.068177389,119,C-15-22-5-14-P5111,9522117,10/11/1999,3,945891,Carpenter Pond,0.033,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,5111,Carpenter Pond,,1003CAR5111,,10/11/1999,Medium,945891,Carpenter Pond,0.033,4.15041E+12,LakePond,39004,1629.128417,47,2.485239599,0.604146643,0.068653028,0.013730606,0.013730606,43.84182342,40.53274749,6.2199643,0.659069065,0.109844844,0,0,5.258821914,0.192228477,7330,7283
9522099,8.332825999,324,C-P56,9522099,10/11/1999,3,946936,Club Pond,0.034,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,56,Chub Pond,,1003CHU0056,,10/11/1999,Medium,946936,Club Pond,0.034,4.15041E+12,LakePond,39004,257.1514973,50,0.27100271,0,0,0,0,85.27551942,8.401084011,2.258355917,0,0.180668473,0,0,3.52303523,0.090334237,1157,1107
9522093,344.1826494,122,C-15-22-P55,9522093,10/11/1999,3,954835,"Kushaqua, Lake",1.394,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,55,Lake Kushaqua,,1003KUS0055,1003-0062,10/11/1999,Medium,954835,"Kushaqua, Lake",1.394,4.15041E+12,LakePond,39004,18279.28015,6410,3.034058993,0.040876066,0.005274331,0,0.010548662,49.59849154,29.10639645,4.193093263,3.026147497,0.664565725,0.036920318,0,10.01331769,0.270309471,82249,75839
9522087,29.99807986,66,C-15-22-27-P57,9522087,10/11/1999,3,957959,Mountain Pond,0.121,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,57,Mountain Pond,,1003MOU0057,1003-0064,10/11/1999,Medium,957959,Mountain Pond,0.121,4.15041E+12,LakePond,39004,516.2876796,133,0,0,0,0,0,71.50684932,6.255707763,7.808219178,7.214611872,0.136986301,0,0,5.936073059,1.141552511,2323,2190
9522073,7.702898024,63,C-15-22-15-P5107,9522073,10/11/1999,3,947988,Daigneau Pond,0.031,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,5107,Daigneau Pond,,1003DAI5107,,10/11/1999,Medium,947988,Daigneau Pond,0.031,4.15041E+12,LakePond,39004,450.2944548,70,2.760736196,0.81799591,0.357873211,0,0.051124744,47.44376278,28.16973415,6.901840491,0.460122699,1.226993865,0,0,10.12269939,1.687116564,2026,1956
9522065,15.66260233,0,,,,0,,,0,,0,0,,,,,,,,,,10/11/1999,Medium,,,0.063,4.15041E+12,LakePond,39004,55.35120902,62,0,0,0,0,0,80.7486631,12.8342246,0,3.743315508,1.604278075,0,0,1.069518717,0,249,187
9522059,6.965978271,0,,,,0,,,0,,0,0,,,,,,,,,,10/11/1999,Medium,958099,Mud Pond,0.028,4.15041E+12,LakePond,39004,495.4058089,78,0,0,0,0,0,89.21431892,3.393770339,0.743840074,4.60251046,0.185960019,0,0,1.859600186,0,2229,2151
9522055,41.23545565,121,C-15-22-P52,9522055,10/11/1999,3,,,0.167,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,52,Mud Pond,,1003MUD0052,1003-0061,10/11/1999,Medium,,,0.167,4.15041E+12,LakePond,39004,23545.6538,8521,3.192231894,0.041057645,0.004105764,0,0.023608146,54.31926425,25.55017244,3.807070126,3.384176384,0.616891115,0.067745114,0,8.756569223,0.237107899,105945,97424
9523517,451.462806,208,C-15-P110-6-P114-5-P168,9523517,10/11/1999,3,962837,Rollins Pond,1.828,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,168,Rollins Pond,,1003ROL0168,1003-0100,10/11/1999,Medium,962837,Rollins Pond,1.828,4.15041E+12,LakePond,39004,7485.009066,4158,1.622463842,0,0,0,0.010161569,50.38105884,27.87657081,3.986722217,0.914541205,0.403075568,0,0,13.80618501,0.999220946,33681,29523
9523515,8.967583014,299,C-P117,9523515,10/11/1999,3,,,0.036,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,117,Sunrise Pond,,1003SUN0117,,10/11/1999,Medium,,,0.036,4.15041E+12,LakePond,39004,52.23118273,36,2.010050251,0,0,0,0,34.67336683,53.26633166,9.045226131,0,0,0,0,1.005025126,0,235,199
9523513,86.93035132,300,C-P118,9523513,10/11/1999,3,953247,Horseshoe Pond,0.352,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,118,Horseshoe Pond,,1003HOR0118,1003-0089,10/11/1999,Medium,953247,Horseshoe Pond,0.352,4.15041E+12,LakePond,39004,1230.082472,1462,1.964154186,0,0,0,0,40.78075129,44.78271544,9.722563221,0,0.73655782,0,0,1.816842622,0.196415419,5535,4073
9523511,9.802092399,297,C-P108,9523511,10/11/1999,3,955316,Lily Pad Pond,0.04,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,108,Lily Pad Pond,,1003LIL0108,1003-0085,10/11/1999,Medium,955316,Lily Pad Pond,0.04,4.15041E+12,LakePond,39004,369.8262736,29,0.550458716,0,0,0,0,67.70642202,23.42507645,2.568807339,2.079510703,0.183486239,0,0,3.486238532,0,1664,1635
9523509,1297.123682,136,C-15-64-P100,9523509,10/11/1999,3,,,5.253,4.15041E+12,390,39009,3-Oct,Saranac River,10,Lake Champlain River Basin,100,Kiwassa Lake,,1003KIW0100,1003-0073,10/11/1999,Medium,,,5.253,4.15041E+12,LakePond,39009,118296.6026,75696,2.260407929,0.356987203,0.19754752,0.046430237,0.044021121,37.11462355,36.43809995,14.7437905,0.563733166,0.558257902,0.091108391,0.002409116,7.260856901,0.321726504,532295,456599
9523503,16.37145783,301,C-P118-1-P119,9523503,10/11/1999,3,955633,Little Polliwog Pond,0.066,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,119,Little Polliwog Pond,,1003LPO0119,1003-0086,10/11/1999,Medium,955633,Little Polliwog Pond,0.066,4.15041E+12,LakePond,39004,932.06371,1056,2.549394519,0,0,0,0,40.94964946,43.43530911,10.13384321,0,0.732950924,0,0,2.039515615,0.159337157,4194,3138
9523497,2418.560408,140,C-15-P102,9523497,10/11/1999,3,,,9.794,4.15041E+12,390,39009,3-Oct,Saranac River,10,Lake Champlain River Basin,102,Second Pond,,1003SEC0102,1003-0078,10/11/1999,Medium,,,9.794,4.15041E+12,LakePond,39009,92977.22653,68095,2.064663479,0.226108058,0.10591678,0.024552138,0.033402327,34.63564342,40.15873242,13.9159232,0.546427807,0.5124545,0.021126258,0.00114196,7.462993362,0.290914282,418370,350275
9523491,58.68643434,201,C-15-P110-6-P114-5-8-P170,9523491,10/11/1999,3,962725,Rock Pond,0.238,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,170,Rock Pond,,1003ROC0170,1003-0101,10/11/1999,Medium,962725,Rock Pond,0.238,4.15041E+12,LakePond,39004,1043.181789,587,2.020939859,0,0,0,0.024348673,64.86486486,23.81300219,4.163623083,0,0.779157536,0,0,4.017531045,0.316532749,4694,4107
9523487,20.2605292,328,C-P85,9523487,10/11/1999,3,957576,Moody Pond,0.082,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,85,Moody Pond,,1003MOO0085,1003-0084,10/11/1999,Medium,957576,Moody Pond,0.082,4.15041E+12,LakePond,39004,143.1379329,96,15.1459854,1.642335766,0.364963504,0,0,54.74452555,17.33576642,10.76642336,0,0,0,0,0,0,644,548
9523481,491.4334043,149,C-15-P110-6-P114-5-2-P116,9523481,10/11/1999,3,950357,Follensby Clear Pond,1.99,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,116,Follensby Clear Pond,,1003FOL0116,1003-0088,10/11/1999,Medium,950357,Follensby Clear Pond,1.99,4.15041E+12,LakePond,39004,2586.156484,4064,6.866499406,0.013204807,0,0,0,32.21972798,47.68255645,10.4846164,0,1.214842203,0,0,1.280866235,0.237686518,11637,7573
9523477,37.58823982,138,C-15-66-P5363,9523477,10/11/1999,3,955497,Little Colby Pond,0.152,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,5363,Little Colby Pond,,1003LCO5363,1003-0085,10/11/1999,Medium,955497,Little Colby Pond,0.152,4.15041E+12,LakePond,39004,2273.799549,1550,7.142034328,3.202396037,2.315401451,0.714203433,0.161271743,31.19456284,39.48853819,4.918788158,0.840916945,1.071305149,0.02303882,0.034558231,8.651077065,0.241907614,10231,8681
9523475,224.5496781,207,C-15-P110-6-P114-5-P142,9523475,10/11/1999,3,950295,Floodwood Pond,0.909,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,142,Floodwood Pond,,1003FLO0142,1003-0095,10/11/1999,Medium,950295,Floodwood Pond,0.909,4.15041E+12,LakePond,39004,15426.01582,10757,1.498542373,0.001704826,0,0,0.011933785,51.99890891,29.7850214,5.533866376,0.61885197,0.511447909,0,0,9.286189202,0.753533253,69414,58657
9523473,238.5054496,133,C-15-58-P88,9523473,10/11/1999,3,956799,McKenzie Pond,0.966,4.15041E+12,390,39009,3-Oct,Saranac River,10,Lake Champlain River Basin,88,Mckenzie Pond,,1003MCK0088,1003-0072,10/11/1999,Medium,956799,McKenzie Pond,0.966,4.15041E+12,LakePond,39009,1208.82801,1067,0.594693504,0,0,0,0,65.07319305,23.44464776,9.698078683,0.800548948,0.38883806,0,0,0,0,5439,4372
9523469,207.4967208,302,C-P120,9523469,10/11/1999,3,960867,Polliwog Pond,0.84,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,120,Polliwog Pond,,1003POL0120,1003-0090,10/11/1999,Medium,960867,Polliwog Pond,0.84,4.15041E+12,LakePond,39004,837.8378739,993,2.880806626,0,0,0,0,41.41159525,42.92401873,9.866762694,0,0.756211739,0,0,2.052574721,0.108030248,3770,2777
9523467,65.83954599,202,C-15-P110-6-P114-5-8-P173,9523467,10/11/1999,3,970839,West Pine Pond,0.267,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,173,West Pine Pond,,1003WPI0173,1003-0102,10/11/1999,Medium,970839,West Pine Pond,0.267,4.15041E+12,LakePond,39004,676.9353264,285,3.006157189,0,0,0,0,69.64867802,19.52191235,5.251720391,0,0.362187613,0,0,2.173125679,0.036218761,3046,2761
9523465,56.76047954,152,C-15-P110-6-P114-5-5-P143,9523465,10/11/1999,3,970353,Middle Pond,0.23,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,143,Middle Pond,,1003MID0143,1003-0111,10/11/1999,Medium,970353,Middle Pond,0.23,4.15041E+12,LakePond,39004,501.5969581,316,3.657908295,0,0,0,0,53.16846986,28.07831015,12.21020093,0.051519835,0.566718187,0,0,1.957753735,0.309119011,2257,1941
9523463,68.18747878,153,C-15-P110-6-P114-5-7-1-P147,9523463,10/11/1999,3,949206,East Pine Pond,0.276,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,147,East Pine Pond,,1003EPI0147,1003-0096,10/11/1999,Medium,949206,East Pine Pond,0.276,4.15041E+12,LakePond,39004,236.6862489,316,5.874499332,0,0,0,0,34.4459279,52.73698264,2.937249666,0,0.534045394,0,0,3.204272363,0.267022697,1065,749
9523453,65.40233552,150,C-15-P110-6-P114-5-2-P183,9523453,10/11/1999,3,951722,Green Pond,0.265,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,183,Green Pond,,1003GRE0183,1003-0106,10/11/1999,Medium,951722,Green Pond,0.265,4.15041E+12,LakePond,39004,274.9155786,311,35.42116631,0,0,0,0,27.21382289,28.61771058,6.803455724,0,1.295896328,0,0,0.431965443,0.215982721,1237,926
9523445,22.73621516,0,,,,0,,,0,,0,0,,,,,,,,,,10/11/1999,Medium,,,0.092,4.15041E+12,LakePond,39004,2642.91466,357,1.733853489,0.130039012,0,0,0,31.72084959,39.15041179,13.7407889,1.404421326,1.612483745,0.268747291,0,10.20372779,0.03467707,11892,11535
9523443,5426.235674,144,C-15-P110-6-P114,9523443,10/11/1999,3,,,21.975,4.15041E+12,390,39009,3-Oct,Saranac River,10,Lake Champlain River Basin,114,Upper Saranac Lake,,1003USA0114,1003-0048,10/11/1999,Medium,,,21.975,4.15041E+12,LakePond,39009,48526.30514,47457,2.843768286,0.105324751,0.024575775,0.001755413,0.039204213,41.10825044,37.44821533,7.644821533,0.831480398,0.638970158,0.0046811,0,8.880046811,0.428905793,218357,170900
9523439,10.72015731,308,C-P188,9523439,10/11/1999,3,,,0.043,4.15041E+12,390,39004,3-Oct,Saranac River,10,Lake Champlain River Basin,188,Sunday Pond,,1003SUN0188,,10/11/1999,Medium,,,0.043,4.15041E+12,LakePond,39004,21.78232922,49,0,0,0,0,0,44.89795918,28.57142857,22.44897959,0,0,0,0,4.081632653,0,98,49
